0,label
"[2.15182380e-01 1.60889611e-01 2.15182380e-01 ... 1.96053923e+02
 1.93485359e+02 1.73013679e+02]",0
"[2.36446738e-01 8.91808098e-02 1.24885145e-01 ... 1.94628242e+02
 1.89439016e+02 2.03019519e+02]",0
"[2.53085764e-01 8.23813088e-02 1.09807053e-01 ... 1.95815776e+02
 2.03050883e+02 2.01896823e+02]",0
"[2.34028496e-01 1.36535501e-01 1.57008758e-01 ... 1.64119558e+02
 1.90295046e+02 2.05532997e+02]",0
"[1.66781048e-01 1.26093561e-01 2.03239919e-01 ... 1.96612189e+02
 1.46189118e+02 1.94340983e+02]",0
"[  0.           0.           0.         ... 179.49064628 193.14672369
 181.26497856]",0
"[2.21644833e-01 2.99238200e-02 1.65540252e-01 ... 1.89153788e+02
 1.86343186e+02 2.01243958e+02]",0
"[1.97172365e-01 1.94298033e-01 7.84765775e-02 ... 1.95851090e+02
 1.91067210e+02 1.89747233e+02]",0
"[6.62081987e-02 8.86406643e-02 1.40720104e-01 ... 1.81290336e+02
 1.94192207e+02 1.95503204e+02]",0
"[2.23117156e-01 4.64619460e-02 1.06056164e-01 ... 1.78274756e+02
 1.62291447e+02 1.95542630e+02]",0
"[2.22188852e-01 3.95713873e-02 2.16006727e-01 ... 2.02904647e+02
 1.95381754e+02 1.59890532e+02]",0
"[2.26463411e-01 1.94513775e-01 1.49897563e-01 ... 1.94932080e+02
 2.04368254e+02 1.85881788e+02]",0
"[2.24181961e-01 1.03457552e-01 8.04094546e-02 ... 1.82859792e+02
 2.07216643e+02 1.62124383e+02]",0
"[2.18756647e-01 1.53593841e-01 2.18756647e-01 ... 2.00952883e+02
 1.83580869e+02 1.87668600e+02]",0
"[1.82884314e-01 1.40780625e-01 1.35467656e-01 ... 2.09169836e+02
 2.01321708e+02 1.78603209e+02]",0
"[2.19516947e-01 2.16852979e-01 1.91055434e-01 ... 2.09933326e+02
 1.84892656e+02 2.00325957e+02]",0
"[  0.           0.           0.         ... 192.50848201 199.04562558
 184.33039494]",0
"[  0.           0.           0.         ... 178.28561574 193.31697382
 198.53220472]",0
"[2.50853348e-01 0.00000000e+00 1.30087814e-02 ... 1.85314349e+02
 1.76936973e+02 1.98441287e+02]",0
"[  0.           0.           0.         ... 180.99386667 189.31217821
 196.83163083]",0
"[2.25522122e-01 1.45967369e-01 1.54624019e-01 ... 2.03743090e+02
 2.00668196e+02 1.73699954e+02]",0
"[1.29475760e-01 1.90596297e-01 1.26190092e-01 ... 1.80300708e+02
 1.98173411e+02 1.96737983e+02]",0
"[3.36498759e-02 0.00000000e+00 2.28138703e-02 ... 1.89064630e+02
 1.92962218e+02 1.75341497e+02]",0
"[2.06862005e-01 7.88199615e-02 2.18491501e-01 ... 1.86087591e+02
 1.83764045e+02 1.84187728e+02]",0
"[2.21814695e-01 7.78699852e-02 4.11642074e-02 ... 1.97419752e+02
 2.01615258e+02 2.07048606e+02]",0
"[  0.           0.           0.         ... 158.03986991 190.57820436
 195.34712862]",0
"[2.26553701e-01 1.29996232e-01 2.26553701e-01 ... 1.65044395e+02
 2.00833731e+02 1.98736956e+02]",0
"[4.55154746e-01 8.65023764e-02 9.85715024e-02 ... 1.81575131e+02
 1.83063165e+02 1.81138010e+02]",0
"[  0.           0.           0.         ... 192.1207729  172.58082356
 163.62061134]",0
"[  0.29944401   0.           0.         ... 172.49097852 170.62697171
 175.38102828]",0
"[2.19513628e-01 5.47972665e-02 9.91941230e-02 ... 1.78277227e+02
 1.92268951e+02 1.94033725e+02]",0
"[2.17838463e-01 1.48333405e-01 2.17838463e-01 ... 1.95862925e+02
 1.90089075e+02 1.79134375e+02]",0
"[  0.41346032   0.           0.         ... 198.72404241 188.20165985
 193.71090647]",0
"[  0.           0.           0.         ... 193.84845181 192.62981551
 194.97647598]",0
"[2.72336692e-01 1.47167233e-01 0.00000000e+00 ... 1.85705734e+02
 2.01252551e+02 1.90574539e+02]",0
"[2.23027727e-01 4.38836484e-02 6.15970616e-02 ... 1.93778190e+02
 1.98246309e+02 1.74746643e+02]",0
"[3.04241160e-01 9.55373392e-02 1.36382365e-01 ... 2.01825740e+02
 1.85559582e+02 1.97585886e+02]",0
"[1.50336808e-01 8.26402148e-02 1.86998225e-01 ... 1.86350422e+02
 1.74426643e+02 1.91252973e+02]",0
